scenario,Scenario,severity,Runs,Decision_Accuracy,Recovery_Success_Rate,Mean_Confidence,Confidence_SD,Mean_Confidence_Margin,Mean_MTTR_ms,MTTR_SD_ms,Mean_Availability_Before,Mean_Availability_After,Mean_Availability_Gain
cpu,CPU Resource Exhaustion,0.6,6,0.0,1.0,0.5876422072526539,0.005753766078529735,0.2358978761458257,15.384063335053119,13.207487931132524,1.0,1.0,0.0
cpu,CPU Resource Exhaustion,0.7,6,0.3333333333333333,1.0,0.5194521541644678,0.007177351102618583,0.025960412715184216,13.05153966677608,5.827261635252491,1.0,1.0,0.0
cpu,CPU Resource Exhaustion,0.8,6,1.0,1.0,0.6214042909727079,0.018363890030291243,0.12540316239285867,13.184973334621949,1.3220491269641728,1.0,1.0,0.0
cpu,CPU Resource Exhaustion,0.9,6,1.0,1.0,0.7183306744760142,0.012089684485415253,0.14496349563676206,34.86507050001819,20.22578725500205,1.0,1.0,0.0
cpu,CPU Resource Exhaustion,0.95,6,1.0,1.0,0.7662028298868143,0.012026138904058426,0.1546243875332108,39.67485966738119,23.34207965021729,1.0,1.0,0.0
dependency,Service Dependency Failure,1.0,5,1.0,1.0,0.9341211775433308,0.0,0.015363907593326098,13.43367379886331,3.8977485817470274,0.0,1.0,1.0
errors,Application Error Injection,0.1,5,0.8,1.0,0.5037914549187805,0.0566069267147843,0.0793251766528943,10.70033159921877,0.8815369788354649,0.9075,0.9733333333333334,0.06583333333333335
errors,Application Error Injection,0.2,5,1.0,1.0,0.6341764371512124,0.027758363128888748,0.1690331490086512,14.049253600387601,2.541064217742445,0.8025,1.0,0.19749999999999995
errors,Application Error Injection,0.3,5,1.0,1.0,0.7104752682423051,0.06325270869420128,0.16864484197065127,12.88563620109926,4.5277601457174175,0.73,1.0,0.26999999999999996
errors,Application Error Injection,0.35,5,1.0,1.0,0.7726568569016491,0.04495613785139891,0.1694758755264906,12.808947799931047,4.559318643181804,0.6675000000000001,1.0,0.3324999999999999
errors,Application Error Injection,0.4,5,1.0,1.0,0.8438385891431567,0.05608115595119137,0.17228199920350043,12.152919000800466,3.3926124803854574,0.5825,1.0,0.4175
latency,Application Latency,300.0,5,0.2,1.0,0.4923533634023195,0.02362703575693903,0.078670396806463,249.50333500019042,130.9058837334121,1.0,1.0,0.0
latency,Application Latency,500.0,5,0.4,1.0,0.490596606213921,0.011966940486816794,0.025513671302674124,310.5613355990499,271.0733784786914,1.0,1.0,0.0
latency,Application Latency,700.0,5,0.6,1.0,0.4914559769532419,0.005362219348672202,0.024974090641103158,290.4351488003158,382.3939572078471,1.0,1.0,0.0
latency,Application Latency,900.0,5,0.6,1.0,0.5019684356678447,0.012590313575353226,0.040709995711877944,370.71334199936246,490.3912968809032,1.0,1.0,0.0
latency,Application Latency,1200.0,5,0.8,1.0,0.5288786460286032,0.026107702298413405,0.07215211421994343,253.12861999991583,533.3360936732894,1.0,1.0,0.0
memory,Memory Pressure,100.0,5,1.0,1.0,0.5307934733769316,1.139170882593406e-05,0.0363373976254078,18.742555400240235,3.064605558023817,1.0,1.0,0.0
memory,Memory Pressure,150.0,5,1.0,1.0,0.6434866140520284,2.8740622292254232e-06,0.10374744560037985,21.286939800484106,7.047879686688668,1.0,1.0,0.0
memory,Memory Pressure,200.0,5,1.0,1.0,0.7391925134416079,1.087012655887129e-06,0.12288136787636346,18.687500801024726,8.281254995755123,1.0,1.0,0.0
memory,Memory Pressure,250.0,5,1.0,1.0,0.8238543669636155,6.897383731220192e-07,0.13948508900499224,33.38813280133763,9.64381601135522,1.0,1.0,0.0
memory,Memory Pressure,300.0,5,1.0,1.0,0.900591895156289,9.7757793590836e-07,0.15434620651758785,27.2039310017135,8.27165516828889,1.0,1.0,0.0
