timestamp,scenario,severity,reference_policy_version,reference_policy_sha256,expected_decision,cpu,memory,allocated_memory_mb,latency_ms,error_rate,dependency_available,selected_decision,executed_decision,aggregation_mode,ce,ch,cc,cr,confidence,confidence_margin,correct,decision_latency_ms,recovery_success,recovery_attempted,operator_escalation,safety_status,safety_reason,action_execution_mode,recovery_verification_latency_ms,verification_attempts,pre_availability,post_availability,availability_gain,explanation
2026-09-05T09:21:31.389065+00:00,CPU Resource Exhaustion,0.6,1.0,526a06484cc5d50d7c0dc8b8487e4c04f32ee18de6a97eee8ae6965169fe5856,Do Nothing,59.8,2.1463,0.0,6.9369,0.0,1.0,Do Nothing,Do Nothing,multiplicative,0.804,0.804,0.45,0.5,0.617552,0.304698,1,0.233963,,0,0,autonomous_observation,,prototype_fault_reset,,0,1.0,1.0,0.0,Do Nothing was selected with confidence 0.618. CPU usage was 59.80% and latency was 6.94 ms. The confidence margin over Scale Out was 0.305.
2026-09-05T09:21:53.444863+00:00,CPU Resource Exhaustion,0.6,1.0,526a06484cc5d50d7c0dc8b8487e4c04f32ee18de6a97eee8ae6965169fe5856,Do Nothing,58.8,2.1475,0.0,7.4886,0.0,1.0,Do Nothing,Do Nothing,multiplicative,0.824,0.824,0.45,0.5,0.625186,0.328724,1,0.226134,,0,0,autonomous_observation,,prototype_fault_reset,,0,1.0,1.0,0.0,Do Nothing was selected with confidence 0.625. CPU usage was 58.80% and latency was 7.49 ms. The confidence margin over Scale Out was 0.329.
2026-09-05T09:22:15.510423+00:00,CPU Resource Exhaustion,0.6,1.0,526a06484cc5d50d7c0dc8b8487e4c04f32ee18de6a97eee8ae6965169fe5856,Do Nothing,55.9,2.1481,0.0,7.6754,0.0,1.0,Do Nothing,Do Nothing,multiplicative,0.882,0.882,0.45,0.5,0.646815,0.404068,1,0.407385,,0,0,autonomous_observation,,prototype_fault_reset,,0,1.0,1.0,0.0,Do Nothing was selected with confidence 0.647. CPU usage was 55.90% and latency was 7.68 ms. The confidence margin over Scale Out was 0.404.
2026-09-05T09:22:37.572565+00:00,CPU Resource Exhaustion,0.6,1.0,526a06484cc5d50d7c0dc8b8487e4c04f32ee18de6a97eee8ae6965169fe5856,Do Nothing,58.8,2.1485,0.0,7.6669,0.0,1.0,Do Nothing,Do Nothing,multiplicative,0.824,0.824,0.45,0.5,0.625186,0.328724,1,0.279147,,0,0,autonomous_observation,,prototype_fault_reset,,0,1.0,1.0,0.0,Do Nothing was selected with confidence 0.625. CPU usage was 58.80% and latency was 7.67 ms. The confidence margin over Scale Out was 0.329.
2026-09-05T09:22:59.633393+00:00,CPU Resource Exhaustion,0.6,1.0,526a06484cc5d50d7c0dc8b8487e4c04f32ee18de6a97eee8ae6965169fe5856,Do Nothing,58.8,2.1489,0.0,7.7239,0.0,1.0,Do Nothing,Do Nothing,multiplicative,0.824,0.824,0.45,0.5,0.625186,0.328724,1,0.213561,,0,0,autonomous_observation,,prototype_fault_reset,,0,1.0,1.0,0.0,Do Nothing was selected with confidence 0.625. CPU usage was 58.80% and latency was 7.72 ms. The confidence margin over Scale Out was 0.329.
2026-09-05T09:23:21.704948+00:00,CPU Resource Exhaustion,0.6,1.0,526a06484cc5d50d7c0dc8b8487e4c04f32ee18de6a97eee8ae6965169fe5856,Do Nothing,58.9,2.1492,0.0,7.4933,0.0,1.0,Do Nothing,Do Nothing,multiplicative,0.822,0.822,0.45,0.5,0.624427,0.326285,1,0.210974,,0,0,autonomous_observation,,prototype_fault_reset,,0,1.0,1.0,0.0,Do Nothing was selected with confidence 0.624. CPU usage was 58.90% and latency was 7.49 ms. The confidence margin over Scale Out was 0.326.
2026-09-05T09:23:43.782709+00:00,CPU Resource Exhaustion,0.7,1.0,526a06484cc5d50d7c0dc8b8487e4c04f32ee18de6a97eee8ae6965169fe5856,Do Nothing,64.9,2.1504,0.0,7.9105,0.0,1.0,Do Nothing,Do Nothing,multiplicative,0.702,0.702,0.45,0.5,0.577051,0.191287,1,1.479622,,0,0,autonomous_observation,,prototype_fault_reset,,0,1.0,1.0,0.0,Do Nothing was selected with confidence 0.577. CPU usage was 64.90% and latency was 7.91 ms. The confidence margin over Scale Out was 0.191.
2026-09-05T09:24:05.858665+00:00,CPU Resource Exhaustion,0.7,1.0,526a06484cc5d50d7c0dc8b8487e4c04f32ee18de6a97eee8ae6965169fe5856,Do Nothing,69.8,2.1508,0.0,8.5928,0.0,1.0,Do Nothing,Operator Review,multiplicative,0.604,0.604,0.45,0.5,0.535259,0.090566,1,0.232019,0,0,1,operator_escalation,confidence 0.535 is below the autonomous threshold 0.550,prototype_fault_reset,0.0,0,1.0,1.0,0.0,Do Nothing was selected with confidence 0.535. CPU usage was 69.80% and latency was 8.59 ms. The confidence margin over Scale Out was 0.091.
2026-09-05T09:24:27.949963+00:00,CPU Resource Exhaustion,0.7,1.0,526a06484cc5d50d7c0dc8b8487e4c04f32ee18de6a97eee8ae6965169fe5856,Do Nothing,68.8,2.151,0.0,9.4394,0.0,1.0,Do Nothing,Operator Review,multiplicative,0.624,0.624,0.45,0.5,0.544049,0.11073,1,0.529694,0,0,1,operator_escalation,confidence 0.544 is below the autonomous threshold 0.550,prototype_fault_reset,0.0,0,1.0,1.0,0.0,Do Nothing was selected with confidence 0.544. CPU usage was 68.80% and latency was 9.44 ms. The confidence margin over Scale Out was 0.111.
2026-09-05T09:24:50.025787+00:00,CPU Resource Exhaustion,0.7,1.0,526a06484cc5d50d7c0dc8b8487e4c04f32ee18de6a97eee8ae6965169fe5856,Do Nothing,66.7,2.1514,0.0,9.4505,0.0,1.0,Do Nothing,Do Nothing,multiplicative,0.666,0.666,0.45,0.5,0.56206,0.153659,1,0.410682,,0,0,autonomous_observation,,prototype_fault_reset,,0,1.0,1.0,0.0,Do Nothing was selected with confidence 0.562. CPU usage was 66.70% and latency was 9.45 ms. The confidence margin over Scale Out was 0.154.
